Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Time Spent per Day,Material Name,Material Level,IQ of Student
Mahika Madan,12,Female,India,Bihar,Visakhapatnam,"Editor, magazine features",Low,Middle,Intermediate,English Literature,91.49779845275025,2.3874136944818583,Material_15,Medium,139.95135415060392
Chavvi Nanda,12,Female,India,Uttar Pradesh,Malda,"Engineer, site",High,Middle,Intermediate,Algebra,64.099708623859,1.3699612131188341,Material_39,Medium,108.03571975386001
Gunbir Sood,15,Female,India,West Bengal,Farrukhabad,"Presenter, broadcasting",Low,High,Advanced,Physics,77.41603501609998,0.9421344275520338,Material_34,Hard,76.69246606789038
Chaman Seshadri,11,Male,India,Rajasthan,Kozhikode,Industrial/product designer,Medium,Middle,Intermediate,Earth Science,89.23491748521315,2.1889872214367703,Material_47,Medium,117.31512580302002
Saumya Prasad,18,Female,India,Sikkim,Allahabad,Museum/gallery curator,Low,High,Advanced,Calculus,73.54554877174814,4.305127562116645,Material_9,Hard,100.73095954826138
Vincent Chada,16,Female,India,Madhya Pradesh,Aurangabad,"Engineer, site",Medium,High,Advanced,Calculus,82.29906937443697,2.941783204119557,Material_1,Hard,108.00393916129534
Yamini Oommen,10,Male,India,Arunachal Pradesh,Medininagar,"Accountant, chartered public finance",High,Elementary,Beginner,Intro to Science,53.377758353702056,2.066165123792975,Material_48,Basic,96.81477114854201
Nitara Khalsa,16,Female,India,Maharashtra,Tirupati,"Designer, exhibition/display",Low,High,Advanced,Physics,65.7755538364656,2.4388204370331383,Material_5,Hard,104.6570459961695
Turvi Karnik,15,Male,India,Mizoram,Thoothukudi,Corporate treasurer,Medium,High,Advanced,Advanced Writing,52.17802829945027,0.5617125799584195,Material_6,Hard,84.04243866620887
Nihal Mohanty,13,Female,India,Rajasthan,Kolhapur,Sports development officer,High,Middle,Intermediate,Earth Science,64.85617729390265,3.062404514856067,Material_3,Medium,118.51373310527853
Atharv Anand,9,Male,India,Meghalaya,Erode,Consulting civil engineer,High,Elementary,Beginner,Math Basics,84.64221129273473,1.7286797278598964,Material_23,Basic,121.83198748238877
Vyanjana Bhasin,12,Female,India,Meghalaya,Vijayawada,"Lecturer, further education",Medium,Middle,Intermediate,Earth Science,97.41459439191541,4.5095724425361885,Material_39,Medium,124.08444300070879
Tarak Kaur,17,Female,India,Nagaland,Giridih,Analytical chemist,Medium,High,Advanced,Calculus,85.81267396549393,4.265300619283057,Material_1,Hard,91.04976686871392
Neelima Mukhopadhyay,7,Female,India,Goa,Madhyamgram,Chiropractor,Low,Elementary,Beginner,Math Basics,74.4888427106137,2.1240706524964033,Material_29,Basic,75.12346489158189
Yutika Khare,14,Male,India,Mizoram,Karawal Nagar,Youth worker,High,Middle,Intermediate,Algebra,55.58891357850589,3.70060184700022,Material_23,Medium,90.36098265896922
Hemang Sastry,13,Male,India,Maharashtra,Panihati,Immigration officer,Low,Middle,Intermediate,Earth Science,73.3855019421264,2.6294813009297826,Material_32,Medium,91.07437957845352
Ethan Balay,7,Female,India,Odisha,Kumbakonam,"Nurse, adult",Low,Elementary,Beginner,Math Basics,7.552718618588763,1.7790634088949069,Material_27,Basic,148.75015344457572
Turvi Kothari,18,Male,India,Madhya Pradesh,Sagar,"Surveyor, land/geomatics",Medium,High,Advanced,Advanced Writing,79.51677728496605,3.1085721674661526,Material_18,Hard,99.79883954678219
Gautam Dyal,8,Male,India,Haryana,Ahmednagar,Merchant navy officer,High,Elementary,Beginner,Reading Comprehension,76.79376745227296,4.119522512324837,Material_29,Basic,106.09950530247754
Dayamai Maharaj,9,Male,India,Meghalaya,Dhule,Camera operator,Low,Elementary,Beginner,Math Basics,84.97001194988756,4.48572073689115,Material_5,Basic,108.68741159765486
Vyanjana Virk,18,Female,India,Uttarakhand,Mumbai,IT consultant,Medium,High,Advanced,Advanced Writing,76.04171047006264,3.9352547240721876,Material_13,Hard,83.55912211733784
Dayita Sandhu,17,Male,India,Odisha,Chittoor,"Psychotherapist, child",Medium,High,Advanced,Physics,44.69771901318931,2.7831323141121342,Material_45,Hard,118.06793159938596
Yash Khatri,17,Female,India,Karnataka,Madanapalle,Recycling officer,High,High,Advanced,Calculus,71.10858595530551,1.7259202837601526,Material_4,Hard,65.542591900941
Indrajit Chada,11,Female,India,Himachal Pradesh,Mysore,Equality and diversity officer,Low,Middle,Intermediate,Earth Science,64.37067044777952,0.7672570096178034,Material_22,Medium,88.26100380908689
Zarna Chakrabarti,14,Male,India,West Bengal,Begusarai,Clinical embryologist,Medium,Middle,Intermediate,Earth Science,74.50149537937723,3.066750944130237,Material_42,Medium,102.23070109453218
Saumya Rege,13,Female,India,Madhya Pradesh,Ongole,Chemical engineer,High,Middle,Intermediate,Algebra,67.47069013961413,2.368361222214828,Material_2,Medium,104.25736334277218
Eesha Thakur,10,Male,India,Punjab,Morena,Scientific laboratory technician,High,Elementary,Beginner,Math Basics,72.26179196464359,4.50399407183126,Material_47,Basic,110.0025216658766
Neha Chaudhry,9,Female,India,Assam,Chandigarh,TEFL teacher,Low,Elementary,Beginner,Math Basics,100.0,1.2034690449741214,Material_29,Basic,101.92988059730799
Maanas Narayan,11,Female,India,Goa,Panihati,Dancer,Low,Middle,Intermediate,Earth Science,100.0,1.7978637573417102,Material_22,Medium,84.8563126298881
Kiaan Sarma,10,Male,India,Maharashtra,Jhansi,"Engineer, materials",Low,Elementary,Beginner,Reading Comprehension,73.83858581416726,4.581121566825258,Material_1,Basic,91.505735871834
Hemani Shroff,9,Male,India,Arunachal Pradesh,Satna,Architectural technologist,Medium,Elementary,Beginner,Math Basics,58.616663767767186,4.962112829363831,Material_45,Basic,96.76532532728704
Kashvi Dhillon,11,Male,India,Gujarat,Tinsukia,Medical secretary,High,Middle,Intermediate,English Literature,71.9096700735756,2.436884777289882,Material_30,Medium,92.39530964210743
Ikshita Shankar,10,Female,India,Nagaland,Patna,Trade mark attorney,Medium,Elementary,Beginner,Reading Comprehension,82.33656960361593,3.318567649301037,Material_33,Basic,86.5763310954735
Balvan Bumb,16,Male,India,Sikkim,Dhanbad,Hospital doctor,Low,High,Advanced,Physics,81.40759753982036,1.1872540662262052,Material_28,Hard,116.7796733922234
Vedhika Bassi,5,Male,India,Jharkhand,Kulti,General practice doctor,Medium,Elementary,Beginner,Intro to Science,47.93736547899361,2.939341588205121,Material_3,Basic,95.69430795345436
Lohit Sankar,8,Male,India,Uttar Pradesh,Dharmavaram,"Librarian, academic",Medium,Elementary,Beginner,Math Basics,74.69146832993609,0.8194542660344082,Material_20,Basic,94.87374281436047
Chatresh Rege,10,Female,India,Himachal Pradesh,Satna,"Scientist, audiological",Low,Elementary,Beginner,Intro to Science,81.12676824375609,3.7981339605109077,Material_14,Basic,98.37940605669141
Triya Amble,7,Male,India,Jharkhand,Sirsa,"Engineer, civil (contracting)",Low,Elementary,Beginner,Math Basics,77.05542989820249,0.5541602624007007,Material_28,Basic,87.49994538199824
Odika Bhatti,13,Female,India,Mizoram,Thanjavur,Fitness centre manager,Medium,Middle,Intermediate,Algebra,63.01819129834293,3.7690157815184446,Material_33,Medium,112.17369980316751
Anika Natt,8,Male,India,Gujarat,Thoothukudi,Landscape architect,Low,Elementary,Beginner,Reading Comprehension,71.67421734990478,4.9955604625621985,Material_46,Basic,120.31239768335402
Yutika Varty,10,Male,India,Uttar Pradesh,Avadi,Freight forwarder,Medium,Elementary,Beginner,Reading Comprehension,63.38923589471034,4.482532374050015,Material_15,Basic,94.71662247430373
Chameli Dara,8,Female,India,Telangana,Aligarh,Air traffic controller,High,Elementary,Beginner,Intro to Science,91.14007417800698,1.7544883437592653,Material_14,Basic,92.90896601092514
Yadavi Kant,16,Female,India,Kerala,Belgaum,"Designer, graphic",Low,High,Advanced,Physics,56.001192534578394,4.949854767322455,Material_18,Hard,125.55616675026288
Frederick Dutt,16,Male,India,Odisha,Tiruchirappalli,Science writer,Low,High,Advanced,Physics,78.11848087100005,0.56498058965919,Material_5,Hard,111.86552128392508
Ekapad Deo,9,Male,India,Tripura,Srinagar,Financial manager,High,Elementary,Beginner,Math Basics,60.92687020537435,1.6353119487422068,Material_13,Basic,111.81065577868448
Vamakshi Sarkar,11,Female,India,Telangana,Vasai-Virar,Learning disability nurse,High,Middle,Intermediate,Algebra,65.02051443688374,1.8698580859268326,Material_14,Medium,103.93105649691955
Tanvi Bhatia,17,Male,India,Manipur,Chinsurah,Database administrator,Low,High,Advanced,Physics,61.5560474952165,4.19978937659199,Material_4,Hard,63.33837642385093
Jack Hora,7,Male,India,Nagaland,Unnao,"Psychologist, clinical",Medium,Elementary,Beginner,Math Basics,88.6967978060825,3.933737721456067,Material_25,Basic,108.16318081421707
Tara Prabhu,14,Female,India,Uttar Pradesh,Vadodara,"Designer, industrial/product",Low,Middle,Intermediate,Algebra,100.0,0.9577545538636824,Material_25,Medium,93.60151758230168
Ekanta Nanda,16,Female,India,Mizoram,Thrissur,Ophthalmologist,Low,High,Advanced,Physics,64.07616715017143,2.787930796521439,Material_4,Hard,102.58744879772293
Patrick Kaur,16,Male,India,Maharashtra,Firozabad,Sales promotion account executive,Medium,High,Advanced,Physics,90.1005480912138,3.6857563991371163,Material_21,Hard,104.64917732750521
Damini Master,15,Female,India,Telangana,Sirsa,Corporate investment banker,Low,High,Advanced,Advanced Writing,73.48032621818135,2.1590368538424385,Material_38,Hard,67.8396864704206
Lipika Ranganathan,7,Male,India,Sikkim,Jorhat,Museum/gallery curator,Medium,Elementary,Beginner,Math Basics,68.87379958860026,1.4319858421015361,Material_19,Basic,109.85658963811466
Zaid Lal,14,Female,India,Kerala,Korba,"Designer, exhibition/display",Low,Middle,Intermediate,Algebra,72.84064394516811,4.454868450651119,Material_18,Medium,97.00540592560527
Andrew Shere,12,Female,India,Meghalaya,Salem,Newspaper journalist,Low,Middle,Intermediate,Earth Science,65.88077173586363,1.4965930862943546,Material_19,Medium,124.37061664772116
Warhi Nigam,16,Female,India,Nagaland,Kozhikode,"Pharmacist, community",Low,High,Advanced,Advanced Writing,85.80899724916475,1.4608491958476446,Material_43,Hard,128.14551383094732
Qushi Tandon,17,Male,India,Uttarakhand,Nangloi Jat,Charity fundraiser,Medium,High,Advanced,Calculus,74.47357649973033,1.0613129476550682,Material_44,Hard,78.303447106925
Vedant Sant,7,Male,India,Andhra Pradesh,Serampore,Systems developer,Low,Elementary,Beginner,Math Basics,65.11715606174795,4.427231631385846,Material_19,Basic,89.51841832941348
Sachi Krishnan,14,Male,India,Odisha,Nagaon,Archaeologist,Low,Middle,Intermediate,Earth Science,66.05144308986083,2.897314397720944,Material_42,Medium,75.99035419235202
Ucchal Gupta,9,Male,India,Kerala,Hapur,Contracting civil engineer,Medium,Elementary,Beginner,Math Basics,67.14703311468116,1.853209517884972,Material_26,Basic,95.77837495326676
Kamya Vohra,13,Male,India,Uttar Pradesh,Buxar,Geophysical data processor,Medium,Middle,Intermediate,English Literature,66.69858477822254,3.937873761602958,Material_3,Medium,97.30863909592465
Dev Sanghvi,10,Female,India,Maharashtra,Nellore,Insurance risk surveyor,Low,Elementary,Beginner,Math Basics,55.627327756510105,2.765823742335969,Material_9,Basic,105.94722484815169
Nirja Kibe,9,Male,India,Bihar,Jorhat,Financial adviser,High,Elementary,Beginner,Reading Comprehension,54.63626904815987,3.5382807929747058,Material_19,Basic,86.73300982237785
Hardik Rajan,16,Male,India,Gujarat,Firozabad,Building surveyor,High,High,Advanced,Physics,80.88287804186193,4.08795701977828,Material_17,Hard,95.27499291829182
Neelima Pal,10,Male,India,Himachal Pradesh,Kottayam,Armed forces logistics/support/administrative officer,High,Elementary,Beginner,Intro to Science,63.73536304120006,1.0518513905414146,Material_34,Basic,79.08916201246149
Mohini Oza,16,Female,India,Meghalaya,Mahbubnagar,Multimedia programmer,High,High,Advanced,Advanced Writing,64.18155185266046,3.2675579508471637,Material_35,Hard,101.51918549222275
Gavin Krishna,8,Female,India,Nagaland,Haridwar,"Surveyor, insurance",High,Elementary,Beginner,Reading Comprehension,72.5399782070495,2.1791630423232857,Material_37,Basic,128.24801484205773
Sara Vyas,10,Male,India,Himachal Pradesh,Raichur,Ship broker,Medium,Elementary,Beginner,Reading Comprehension,88.33713032873051,3.9717579833636836,Material_40,Basic,112.9644452759018
Reyansh Master,8,Female,India,Telangana,Kadapa,Printmaker,High,Elementary,Beginner,Reading Comprehension,64.90617593258077,4.145716547982916,Material_34,Basic,80.16604532315115
Zaid Barad,5,Female,India,Odisha,Adoni,Air traffic controller,High,Elementary,Beginner,Math Basics,62.16146713872787,0.5365033153793264,Material_31,Basic,106.58640226340601
Ekaja Narain,7,Male,India,Uttarakhand,Secunderabad,Risk analyst,Medium,Elementary,Beginner,Math Basics,73.78313158773537,3.433382346055909,Material_9,Basic,102.14345415670711
Karan Dash,15,Female,India,Punjab,Ajmer,Commercial/residential surveyor,High,High,Advanced,Physics,65.79343695819894,0.8545848743875034,Material_28,Hard,107.50630528882856
Advay Srivastava,11,Female,India,Tamil Nadu,Berhampore,"Accountant, chartered public finance",Medium,Middle,Intermediate,Earth Science,54.42159049298048,3.618494554072905,Material_4,Medium,107.01842567226576
William Choudhury,18,Male,India,Meghalaya,Nangloi Jat,English as a foreign language teacher,Medium,High,Advanced,Calculus,87.26506171845807,3.742128574890064,Material_18,Hard,88.33058333819717
Xalak Sankaran,16,Female,India,Jharkhand,Lucknow,Chemical engineer,Low,High,Advanced,Advanced Writing,58.680311850033064,2.653777580590154,Material_48,Hard,94.60484313990258
Aishani Behl,9,Female,India,Meghalaya,Bhusawal,Chiropodist,Medium,Elementary,Beginner,Math Basics,57.276608864368,1.4254084397032096,Material_21,Basic,103.27352099755151
Siya Kapoor,18,Male,India,Nagaland,Raichur,Dispensing optician,High,High,Advanced,Calculus,86.8845705415492,3.2696137202789854,Material_22,Hard,109.60611993448731
Finn Dhillon,6,Female,India,Karnataka,Muzaffarpur,Food technologist,Medium,Elementary,Beginner,Math Basics,82.1077944107782,4.815317605229647,Material_40,Basic,93.96408023954548
Ojas Sathe,16,Male,India,West Bengal,Ahmednagar,Media buyer,Low,High,Advanced,Physics,65.98210986890814,4.179195906215728,Material_30,Hard,118.33882047071918
Onkar Padmanabhan,11,Male,India,Himachal Pradesh,Nangloi Jat,"Engineer, manufacturing systems",Low,Middle,Intermediate,Algebra,100.0,4.398143339629826,Material_3,Medium,120.00049649744847
Advika Varkey,11,Female,India,Sikkim,Hyderabad,Furniture designer,Medium,Middle,Intermediate,English Literature,77.37403092357319,4.7454001679691515,Material_24,Medium,90.95833589249382
Ranbir Bawa,11,Female,India,Sikkim,Nagercoil,IT consultant,High,Middle,Intermediate,English Literature,76.67390231810211,1.387499403476126,Material_20,Medium,86.54862345276923
Kamya Hegde,11,Female,India,Karnataka,Junagadh,Physiological scientist,Low,Middle,Intermediate,Algebra,55.99084027355039,2.9965543510507398,Material_37,Medium,84.6240796787211
Dhruv Kata,16,Male,India,Madhya Pradesh,Guntakal,"Buyer, retail",High,High,Advanced,Physics,65.05294261473269,4.55734024072026,Material_26,Hard,74.14909795380613
Fariq Tank,18,Male,India,Chhattisgarh,Tiruvottiyur,"Engineer, structural",Medium,High,Advanced,Physics,73.03078893688972,4.440816668216592,Material_46,Hard,162.81344207868113
Harrison Das,18,Male,India,Uttar Pradesh,Vasai-Virar,Best boy,High,High,Advanced,Calculus,80.20128795298689,1.6896074481656218,Material_26,Hard,82.14719547148638
Dominic Mall,15,Female,India,Meghalaya,Jamalpur,Exercise physiologist,Medium,High,Advanced,Advanced Writing,84.65520552786397,1.9912243024426903,Material_40,Hard,104.108397911821
Vansha Nanda,17,Female,India,Tamil Nadu,Anantapur,"Education officer, environmental",High,High,Advanced,Calculus,81.31261854886579,2.1575248874070465,Material_48,Hard,94.53819743313392
Omkaar Saran,7,Female,India,West Bengal,Anantapur,Microbiologist,High,Elementary,Beginner,Math Basics,82.15355391080352,0.8325043527109797,Material_37,Basic,106.6814006739157
Gaurangi Sastry,11,Female,India,Manipur,Bardhaman,"Designer, blown glass/stained glass",Low,Middle,Intermediate,Algebra,58.80821642730153,4.6574360530488885,Material_18,Medium,106.93664705576968
Janya Korpal,5,Female,India,Madhya Pradesh,Parbhani,Operational researcher,High,Elementary,Beginner,Intro to Science,52.51109910626875,1.4759086762365548,Material_41,Basic,61.04993349687392
Inaya Vora,16,Female,India,Manipur,Sangli-Miraj & Kupwad,Publishing rights manager,Medium,High,Advanced,Physics,57.62593595991159,1.2305717770220763,Material_9,Hard,103.96592378281434
Zaid Chauhan,17,Female,India,Arunachal Pradesh,Ajmer,Tour manager,Medium,High,Advanced,Physics,72.49770505164804,1.5313524440528705,Material_26,Hard,114.89397948990793
Lakshmi Grewal,5,Female,India,Odisha,Adoni,Scientific laboratory technician,Low,Elementary,Beginner,Reading Comprehension,86.28918812200892,3.2355438065825037,Material_34,Basic,101.62291710701925
Gunbir Ratti,13,Female,India,Madhya Pradesh,Morbi,Trading standards officer,Medium,Middle,Intermediate,Algebra,43.6883589993549,2.7138763962064827,Material_25,Medium,98.09267773926506
Pooja Balan,12,Female,India,Uttarakhand,Rohtak,Community pharmacist,Medium,Middle,Intermediate,Earth Science,80.49644825686498,3.1959808500455855,Material_27,Medium,124.54064528987709
Rushil Kunda,10,Male,India,Gujarat,Chennai,Operational investment banker,Low,Elementary,Beginner,Math Basics,41.708045570826364,4.468289828218982,Material_17,Basic,103.84303088850875
Raghav Om,13,Female,India,Uttarakhand,Bihar Sharif,Pensions consultant,High,Middle,Intermediate,Earth Science,64.49352405615686,3.7541206008729318,Material_4,Medium,72.32694912721986
Jeremiah Thaman,9,Male,India,Arunachal Pradesh,Orai,Sports coach,Medium,Elementary,Beginner,Math Basics,65.43480558489729,1.2307429665549463,Material_2,Basic,163.58237354294815
Hredhaan Talwar,11,Male,India,Uttar Pradesh,New Delhi,"Doctor, hospital",Low,Middle,Intermediate,English Literature,63.984506897597214,1.7405222486328118,Material_38,Medium,116.78675364545248
Raghav Narasimhan,16,Female,India,Himachal Pradesh,Unnao,Teaching laboratory technician,High,High,Advanced,Calculus,73.67705159420447,4.4654218485176465,Material_16,Hard,108.74955415913709
Adweta Virk,7,Male,India,Punjab,Darbhanga,Production engineer,Low,Elementary,Beginner,Reading Comprehension,42.89084326312929,0.9469685638267298,Material_19,Basic,80.00475857763388
Yochana Kaul,18,Female,India,Tripura,Parbhani,"Sales professional, IT",High,High,Advanced,Advanced Writing,91.42206276809077,1.5009707639866119,Material_20,Hard,120.65542146755215
Jalsa Vyas,5,Female,India,Telangana,Sambhal,Amenity horticulturist,Low,Elementary,Beginner,Math Basics,96.21526893431067,1.7357777596948114,Material_1,Basic,113.28837913169419
Krishna Oza,13,Female,India,Goa,Sri Ganganagar,Drilling engineer,Low,Middle,Intermediate,English Literature,100.0,3.9515696630936117,Material_13,Medium,107.73846625016077
Mitali Sehgal,17,Female,India,Tripura,Dehri,Occupational therapist,Low,High,Advanced,Advanced Writing,81.04736654110353,4.287417038816803,Material_28,Hard,120.76877909085465
Zarna Chad,17,Male,India,Odisha,North Dumdum,Public relations officer,High,High,Advanced,Physics,70.53092209585951,1.232617137031615,Material_16,Hard,116.94984468264565
Arya Bora,17,Male,India,Punjab,Sonipat,Ranger/warden,Medium,High,Advanced,Advanced Writing,77.7962183804648,0.6875536882319785,Material_48,Hard,89.60668544887773
Kevin Desai,15,Male,India,Madhya Pradesh,Hapur,Wellsite geologist,Medium,High,Advanced,Physics,91.25463830565717,4.731585751529386,Material_27,Hard,107.15761835899211
Rohan Kalita,6,Male,India,Assam,Gudivada,Product/process development scientist,Low,Elementary,Beginner,Math Basics,57.9529173309029,1.1992580149039855,Material_10,Basic,90.33977635282693
Ayush Palla,15,Male,India,West Bengal,Allahabad,Special effects artist,High,High,Advanced,Advanced Writing,66.34126752027366,4.726717170967919,Material_18,Hard,88.09676333596036
Onveer Palla,10,Female,India,Haryana,Bhatpara,Field trials officer,Low,Elementary,Beginner,Math Basics,58.62122896994822,1.5317792494551765,Material_36,Basic,120.96181615266835
Omya Yogi,16,Male,India,Maharashtra,Imphal,"Designer, furniture",Medium,High,Advanced,Calculus,49.15326988848835,1.1622799260419057,Material_36,Hard,108.87334772613974
Abhiram Patla,10,Female,India,Meghalaya,Visakhapatnam,Plant breeder/geneticist,Medium,Elementary,Beginner,Reading Comprehension,134.32939958060504,3.3716981854938375,Material_38,Basic,97.23874239872603
Ekani Bala,5,Male,India,Kerala,Haridwar,Patent attorney,Medium,Elementary,Beginner,Intro to Science,57.32485310256484,2.4520691562965724,Material_46,Basic,104.86495309314772
Vihaan Dash,13,Female,India,Goa,Kozhikode,Trade union research officer,High,Middle,Intermediate,English Literature,57.18909810093916,1.2441154282760138,Material_44,Medium,133.66790149275948
Sneha Agate,9,Male,India,Bihar,Latur,Physiotherapist,Medium,Elementary,Beginner,Math Basics,100.0,3.9825879698542312,Material_44,Basic,135.35570977504614
Gaurang Oak,17,Male,India,Madhya Pradesh,Gandhinagar,"Therapist, drama",Medium,High,Advanced,Physics,95.11262175063976,4.531182047984341,Material_37,Hard,91.69273501150117
Aryan Mander,6,Male,India,West Bengal,Aurangabad,Database administrator,Low,Elementary,Beginner,Intro to Science,85.6598060266665,3.4502948452116287,Material_10,Basic,119.05733162578059
Lavanya Pall,14,Male,India,Chhattisgarh,Dharmavaram,"Producer, television/film/video",Medium,Middle,Intermediate,English Literature,74.53009235982404,3.5806439498841667,Material_28,Medium,92.15065419964124
Zashil Varghese,10,Male,India,Goa,Sambalpur,TEFL teacher,Low,Elementary,Beginner,Reading Comprehension,63.21298660065448,2.2655447802140203,Material_49,Basic,85.55783857882898
Victor Prasad,15,Male,India,Manipur,Amroha,Ecologist,High,High,Advanced,Advanced Writing,58.07027982580158,4.329270636445607,Material_47,Hard,90.45256694360097
Jagdish Mahajan,6,Female,India,Meghalaya,Kharagpur,Financial planner,High,Elementary,Beginner,Reading Comprehension,38.14539885819065,2.3689809778171558,Material_42,Basic,85.78796262800451
Faraj Upadhyay,11,Female,India,Manipur,Rajpur Sonarpur,Higher education lecturer,Low,Middle,Intermediate,Algebra,59.76722107200992,3.9517585897562104,Material_44,Medium,70.85962045173981
Fariq Rao,8,Male,India,Andhra Pradesh,Bettiah,"Presenter, broadcasting",High,Elementary,Beginner,Math Basics,74.49115868849961,2.6044465636294785,Material_14,Basic,99.98806259284954
Aayush Gala,9,Female,India,Bihar,Motihari,Data scientist,Medium,Elementary,Beginner,Reading Comprehension,68.03168499511384,2.3659070817533006,Material_8,Basic,95.40273190974094
Warinder Jayaraman,13,Female,India,Telangana,Kozhikode,"Copywriter, advertising",Medium,Middle,Intermediate,Algebra,72.06100589151004,1.727666748719789,Material_3,Medium,105.55769816557545
Neel Jaggi,7,Male,India,Nagaland,Buxar,Building control surveyor,High,Elementary,Beginner,Math Basics,53.34421027689677,-2.6418647873525214,Material_18,Basic,94.99081264069281
Lekha Kar,17,Female,India,Punjab,Hindupur,Higher education careers adviser,Medium,High,Advanced,Calculus,78.13720088639975,3.10042930550474,Material_32,Hard,117.90892413222426
Neel Rattan,16,Male,India,Jharkhand,Kamarhati,Broadcast journalist,Low,High,Advanced,Physics,58.245390166691045,3.7551275485395235,Material_23,Hard,106.65905956583032
Oni Sachdeva,10,Female,India,Tamil Nadu,Bhimavaram,"Teacher, early years/pre",Low,Elementary,Beginner,Reading Comprehension,95.69418800741344,1.41088338053251,Material_1,Basic,114.65189678400785
Isaac Goyal,6,Male,India,Karnataka,Delhi,Multimedia specialist,High,Elementary,Beginner,Reading Comprehension,84.49264042359454,2.4061156978822544,Material_16,Basic,95.90069808784897
Riya Shukla,6,Female,India,Tripura,Tezpur,Holiday representative,High,Elementary,Beginner,Math Basics,72.93652352899677,1.3386196765003628,Material_4,Basic,89.90452948088478
Bhanumati Saxena,10,Female,India,Maharashtra,Jamnagar,Geographical information systems officer,Medium,Elementary,Beginner,Reading Comprehension,76.85705828593822,2.3489563534630054,Material_25,Basic,103.39367337883357
Gautam Nadig,9,Male,India,Chhattisgarh,Sambalpur,"Pilot, airline",High,Elementary,Beginner,Math Basics,42.19164665067378,0.9390943293218144,Material_25,Basic,95.59110251906289
Ayushman Kothari,15,Female,India,Tamil Nadu,Katihar,Location manager,Medium,High,Advanced,Advanced Writing,78.83576437245932,2.173079395553612,Material_40,Hard,99.14938672161013
Ekaja Joshi,13,Female,India,Telangana,Dehradun,"Engineer, agricultural",High,Middle,Intermediate,Earth Science,45.424500177233476,0.5236809120686918,Material_24,Medium,100.1595666498753
Teerth Raju,17,Male,India,Mizoram,Dhanbad,"Therapist, speech and language",Low,High,Advanced,Physics,74.08211372376496,2.5710483250783454,Material_2,Hard,76.31765742549224
Parth Sha,11,Male,India,Sikkim,Bettiah,"Geologist, engineering",Medium,Middle,Intermediate,Earth Science,97.16368583766393,3.046835897509256,Material_49,Medium,119.00740265242213
