Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Time Spent per Day,Material Name,Material Level,IQ of Student,Original IQ,Original Assessment Score
Chavvi Nanda,12,Female,India,Uttar Pradesh,Malda,"Engineer, site",High,Middle,Intermediate,Algebra,-0.3904366761930758,-0.9669299784934903,Material_39,Medium,0.4833482404775831,108.03571975386,64.099708623859
Gunbir Sood,15,Female,India,West Bengal,Farrukhabad,"Presenter, broadcasting",Low,High,Advanced,Physics,0.4313651193479365,-1.2739711761083625,Material_34,Hard,-1.4140116661865236,76.69246606789038,77.41603501609998
Chaman Seshadri,11,Male,India,Rajasthan,Kozhikode,Industrial/product designer,Medium,Middle,Intermediate,Earth Science,1.1607538823077217,-0.37913432157008164,Material_47,Medium,1.0450759146920148,117.31512580302002,89.23491748521315
Saumya Prasad,18,Female,India,Sikkim,Allahabad,Museum/gallery curator,Low,High,Advanced,Calculus,0.1925025042742725,1.1395697110974643,Material_9,Hard,0.041155503221897434,100.73095954826138,73.54554877174814
Vincent Chada,16,Female,India,Madhya Pradesh,Aurangabad,"Engineer, site",Medium,High,Advanced,Calculus,0.732715978824314,0.1611296073851048,Material_1,Hard,0.48142440631708555,108.00393916129534,82.29906937443697
Yamini Oommen,10,Male,India,Arunachal Pradesh,Medininagar,"Accountant, chartered public finance",High,Elementary,Beginner,Intro to Science,-1.0521295278229748,-0.467280845411875,Material_48,Basic,-0.19591046736994203,96.814771148542,53.377758353702056
Nitara Khalsa,16,Female,India,Maharashtra,Tirupati,"Designer, exhibition/display",Low,High,Advanced,Physics,-0.28701381284456434,-0.19983491277066173,Material_5,Hard,0.2788206509118036,104.6570459961695,65.7755538364656
Turvi Karnik,15,Male,India,Mizoram,Thoothukudi,Corporate treasurer,Medium,High,Advanced,Advanced Writing,-1.1261694907757538,-1.5469909673522841,Material_6,Hard,-0.9690820024429079,84.04243866620887,52.17802829945027
Nihal Mohanty,13,Female,India,Rajasthan,Kolhapur,Sports development officer,High,Middle,Intermediate,Earth Science,-0.34375208068221363,0.24769667834899387,Material_3,Medium,1.117633456481561,118.51373310527852,64.85617729390265
Atharv Anand,9,Male,India,Meghalaya,Erode,Consulting civil engineer,High,Elementary,Beginner,Math Basics,0.8773202922771969,-0.7094861575630058,Material_23,Basic,1.3185035664682574,121.83198748238875,84.64221129273473
Vyanjana Bhasin,12,Female,India,Meghalaya,Vijayawada,"Lecturer, further education",Medium,Middle,Intermediate,Earth Science,1.6655532519589504,1.286294981809727,Material_39,Medium,1.4548556770316177,124.0844430007088,97.4145943919154
Tarak Kaur,17,Female,India,Nagaland,Giridih,Analytical chemist,Medium,High,Advanced,Calculus,0.949554052381463,1.1109868531804141,Material_1,Hard,-0.5448942739614432,91.04976686871392,85.81267396549393
Neelima Mukhopadhyay,7,Female,India,Goa,Madhyamgram,Chiropractor,Low,Elementary,Beginner,Math Basics,0.2507168067664636,-0.4257234126343353,Material_29,Basic,-1.508990954401555,75.12346489158189,74.4888427106137
Yutika Khare,14,Male,India,Mizoram,Karawal Nagar,Youth worker,High,Middle,Intermediate,Algebra,-0.9156706216322654,0.7057158575748852,Material_23,Medium,-0.5865897391804198,90.36098265896922,55.58891357850589
Hemang Sastry,13,Male,India,Maharashtra,Panihati,Immigration officer,Low,Middle,Intermediate,Earth Science,0.18262539792529955,-0.06300210574677477,Material_32,Medium,-0.5434043466832429,91.07437957845352,73.3855019421264
Ethan Balay,7,Female,India,Odisha,Kumbakonam,"Nurse, adult",Low,Elementary,Beginner,Math Basics,-3.8801692458188595,-0.673326977523027,Material_27,Basic,2.9479913461765377,148.75015344457572,7.552718618588763
Turvi Kothari,18,Male,India,Madhya Pradesh,Sagar,"Surveyor, land/geomatics",Medium,High,Advanced,Advanced Writing,0.5610100167221067,0.28083011418491993,Material_18,Hard,-0.015270263443097969,99.7988395467822,79.51677728496605
Gautam Dyal,8,Male,India,Haryana,Ahmednagar,Merchant navy officer,High,Elementary,Beginner,Reading Comprehension,0.39296259103818093,1.0063653426614285,Material_29,Basic,0.36613974299472,106.09950530247754,76.79376745227296
Dayamai Maharaj,9,Male,India,Meghalaya,Dhule,Camera operator,Low,Elementary,Beginner,Math Basics,0.897550133503129,1.2691771749928682,Material_5,Basic,0.5227983240044852,108.68741159765486,84.97001194988756
Vyanjana Virk,18,Female,India,Uttarakhand,Mumbai,IT consultant,Medium,High,Advanced,Advanced Writing,0.34655025777713155,0.8741206953049506,Material_13,Hard,-0.9983395087389326,83.55912211733784,76.04171047006264
Dayita Sandhu,17,Male,India,Odisha,Chittoor,"Psychotherapist, child",Medium,High,Advanced,Physics,-1.587808190637694,0.047269603958698114,Material_45,Hard,1.0906469185782017,118.06793159938596,44.69771901318931
Yash Khatri,17,Female,India,Karnataka,Madanapalle,Recycling officer,High,High,Advanced,Calculus,0.04210814180309213,-0.7114665455371112,Material_4,Hard,-2.088967891876312,65.542591900941,71.10858595530551
Indrajit Chada,11,Female,India,Himachal Pradesh,Mysore,Equality and diversity officer,Low,Middle,Intermediate,Earth Science,-0.3737145783064774,-1.399476576073412,Material_22,Medium,-0.7137116938609868,88.26100380908689,64.37067044777952
Zarna Chakrabarti,14,Male,India,West Bengal,Begusarai,Clinical embryologist,Medium,Middle,Intermediate,Earth Science,0.25149765169335864,0.25081600816823707,Material_42,Medium,0.1319421684724938,102.23070109453218,74.50149537937723
Saumya Rege,13,Female,India,Madhya Pradesh,Ongole,Chemical engineer,High,Middle,Intermediate,Algebra,-0.18240042199031845,-0.2504018301088462,Material_2,Medium,0.2546259119244896,104.25736334277218,67.47069013961413
Eesha Thakur,10,Male,India,Punjab,Morena,Scientific laboratory technician,High,Elementary,Beginner,Math Basics,0.11327692673576828,1.2822915166697126,Material_47,Basic,0.6024083460300923,110.0025216658766,72.26179196464359
Neha Chaudhry,9,Female,India,Assam,Chandigarh,TEFL teacher,Low,Elementary,Beginner,Math Basics,1.8251085908971518,-1.0864174823741173,Material_29,Basic,0.11373203763367104,101.929880597308,100.0
Maanas Narayan,11,Female,India,Goa,Panihati,Dancer,Low,Middle,Intermediate,Earth Science,1.8251085908971518,-0.6598344106772279,Material_22,Medium,-0.9198142447546238,84.8563126298881,100.0
Kiaan Sarma,10,Male,India,Maharashtra,Jhansi,"Engineer, materials",Low,Elementary,Beginner,Reading Comprehension,0.21058694892714422,1.3376441014795173,Material_1,Basic,-0.5172922478964554,91.505735871834,73.83858581416726
Hemani Shroff,9,Male,India,Arunachal Pradesh,Satna,Architectural technologist,Medium,Elementary,Beginner,Math Basics,-0.7288164946987002,1.611072548404986,Material_45,Basic,-0.198903663920025,96.76532532728704,58.61666376776719
Kashvi Dhillon,11,Male,India,Gujarat,Tinsukia,Medical secretary,High,Middle,Intermediate,English Literature,0.09154612848065909,-0.20122409013354467,Material_30,Medium,-0.46344201196857626,92.39530964210743,71.9096700735756
Ikshita Shankar,10,Female,India,Nagaland,Patna,Trade mark attorney,Medium,Elementary,Beginner,Reading Comprehension,0.7350302624161029,0.431538920672745,Material_33,Basic,-0.8156931439901383,86.5763310954735,82.33656960361593
Balvan Bumb,16,Male,India,Sikkim,Dhanbad,Hospital doctor,Low,High,Advanced,Physics,0.6776998180016834,-1.0980545903393515,Material_28,Hard,1.0126623705733668,116.7796733922234,81.40759753982036
Vedhika Bassi,5,Male,India,Jharkhand,Kulti,General practice doctor,Medium,Elementary,Beginner,Intro to Science,-1.3878771282639644,0.15937731720652054,Material_3,Basic,-0.2637375654929326,95.69430795345436,47.93736547899361
Lohit Sankar,8,Male,India,Uttar Pradesh,Dharmavaram,"Librarian, academic",Medium,Elementary,Beginner,Math Basics,0.2632216142393996,-1.3620158357386707,Material_20,Basic,-0.3134103726405804,94.87374281436048,74.69146832993609
Chatresh Rege,10,Female,India,Himachal Pradesh,Satna,"Scientist, audiological",Low,Elementary,Beginner,Intro to Science,0.6603687604000459,0.775712356037592,Material_14,Basic,-0.10119549064694028,98.3794060566914,81.12676824375609
Triya Amble,7,Male,India,Jharkhand,Sirsa,"Engineer, civil (contracting)",Low,Elementary,Beginner,Math Basics,0.40911078848818005,-1.552411087611042,Material_28,Basic,-0.7597822697065706,87.49994538199824,77.05542989820249
Odika Bhatti,13,Female,India,Mizoram,Thanjavur,Fitness centre manager,Medium,Middle,Intermediate,Algebra,-0.4571812763055885,0.7548149254609499,Material_33,Medium,0.7338403405892755,112.17369980316752,63.01819129834293
Anika Natt,8,Male,India,Gujarat,Thoothukudi,Landscape architect,Low,Elementary,Beginner,Reading Comprehension,0.0770154339498879,1.6350771261945793,Material_46,Basic,1.2265153897412542,120.31239768335402,71.67421734990478
Yutika Varty,10,Male,India,Uttar Pradesh,Avadi,Freight forwarder,Medium,Elementary,Beginner,Reading Comprehension,-0.43428268501706324,1.2668889621501969,Material_15,Basic,-0.3229216325988464,94.71662247430372,63.38923589471034
Chameli Dara,8,Female,India,Telangana,Aligarh,Air traffic controller,High,Elementary,Beginner,Intro to Science,1.2783284403958455,-0.690963922392466,Material_14,Basic,-0.4323478885006719,92.90896601092514,91.14007417800698
Yadavi Kant,16,Female,India,Kerala,Belgaum,"Designer, graphic",Low,High,Advanced,Physics,-0.8902272991734843,1.6022752262723023,Material_18,Hard,1.5439462884935427,125.55616675026288,56.0011925345784
Frederick Dutt,16,Male,India,Odisha,Tiruchirappalli,Science writer,Low,High,Advanced,Physics,0.4747157588428929,-1.5446455938361956,Material_5,Hard,0.7151847928160883,111.86552128392508,78.11848087100005
Ekapad Deo,9,Male,India,Tripura,Srinagar,Financial manager,High,Elementary,Beginner,Math Basics,-0.5862447566251889,-0.776494011409642,Material_13,Basic,0.7118635163798458,111.81065577868448,60.92687020537435
Vamakshi Sarkar,11,Female,India,Telangana,Vasai-Virar,Learning disability nurse,High,Middle,Intermediate,Algebra,-0.3336102025697459,-0.6081657783802368,Material_14,Medium,0.23487296818757578,103.93105649691957,65.02051443688374
Tanvi Bhatia,17,Male,India,Manipur,Chinsurah,Database administrator,Low,High,Advanced,Physics,-0.5474158025070938,1.0639709787852307,Material_4,Hard,-2.2223997976312435,63.33837642385093,61.5560474952165
Jack Hora,7,Male,India,Nagaland,Unnao,"Psychologist, clinical",Medium,Elementary,Beginner,Math Basics,1.1275444440963551,0.8730319782920091,Material_25,Basic,0.49106407968194427,108.16318081421709,88.6967978060825
Tara Prabhu,14,Female,India,Uttar Pradesh,Vadodara,"Designer, industrial/product",Low,Middle,Intermediate,Algebra,1.8251085908971518,-1.2627609797124772,Material_25,Medium,-0.3904243665207162,93.60151758230168,100.0
Ekanta Nanda,16,Female,India,Mizoram,Thrissur,Ophthalmologist,Low,High,Advanced,Physics,-0.3918895112150081,0.050713361655483874,Material_4,Hard,0.15353784566702838,102.58744879772291,64.07616715017143
Patrick Kaur,16,Male,India,Maharashtra,Firozabad,Sales promotion account executive,Medium,High,Advanced,Physics,1.2141752813732394,0.6950616296378058,Material_21,Hard,0.27834432204716014,104.6491773275052,90.1005480912138
Damini Master,15,Female,India,Telangana,Sirsa,Corporate investment banker,Low,High,Advanced,Advanced Writing,0.18847736925939365,-0.40062899428671883,Material_38,Hard,-1.9499135619840258,67.8396864704206,73.48032621818135
Lipika Ranganathan,7,Male,India,Sikkim,Jorhat,Museum/gallery curator,Medium,Elementary,Beginner,Math Basics,-0.09580913318042382,-0.9224163645568673,Material_19,Basic,0.5935743691447363,109.85658963811466,68.87379958860026
Zaid Lal,14,Female,India,Kerala,Korba,"Designer, exhibition/display",Low,Middle,Intermediate,Algebra,0.1490001121650994,1.2470352165277252,Material_18,Medium,-0.18437041519668504,97.00540592560527,72.84064394516811
Andrew Shere,12,Female,India,Meghalaya,Salem,Newspaper journalist,Low,Middle,Intermediate,Earth Science,-0.2805204109782106,-0.8760492685713303,Material_19,Medium,1.4721791626411591,124.37061664772116,65.88077173586363
Warhi Nigam,16,Female,India,Nagaland,Kozhikode,"Pharmacist, community",Low,High,Advanced,Advanced Writing,0.9493271480542473,-0.9017018160518083,Material_43,Hard,1.7006920872721687,128.14551383094732,85.80899724916475
Qushi Tandon,17,Male,India,Uttarakhand,Nangloi Jat,Charity fundraiser,Medium,High,Advanced,Calculus,0.24977467008810988,-1.1884395619670822,Material_44,Hard,-1.316491132278819,78.303447106925,74.47357649973033
Vedant Sant,7,Male,India,Andhra Pradesh,Serampore,Systems developer,Low,Elementary,Beginner,Math Basics,-0.3276460756402888,1.2272009229029506,Material_19,Basic,-0.6375942645465914,89.51841832941348,65.11715606174795
Sachi Krishnan,14,Male,India,Odisha,Nagaon,Archaeologist,Low,Middle,Intermediate,Earth Science,-0.26998762430485057,0.1292153934233842,Material_42,Medium,-1.4565139199724972,75.99035419235202,66.05144308986083
Ucchal Gupta,9,Male,India,Kerala,Hapur,Contracting civil engineer,Medium,Elementary,Beginner,Math Basics,-0.20237454371088223,-0.6201140631594924,Material_26,Basic,-0.2586485802677324,95.77837495326676,67.14703311468116
Kamya Vohra,13,Male,India,Uttar Pradesh,Buxar,Geophysical data processor,Medium,Middle,Intermediate,English Literature,-0.2300500179560774,0.8760003167947098,Material_3,Medium,-0.16601423349650166,97.30863909592463,66.69858477822254
Dev Sanghvi,10,Female,India,Maharashtra,Nellore,Insurance risk surveyor,Low,Elementary,Beginner,Math Basics,-0.9132999347379811,0.0348476500594909,Material_9,Basic,0.3569214649084274,105.94722484815168,55.627327756510105
Nirja Kibe,9,Male,India,Bihar,Jorhat,Financial adviser,High,Elementary,Beginner,Reading Comprehension,-0.9744619851427638,0.5892218639599845,Material_19,Basic,-0.8062086170283266,86.73300982237785,54.63626904815987
Hardik Rajan,16,Male,India,Gujarat,Firozabad,Building surveyor,High,High,Advanced,Physics,0.6453173565873348,0.9837115328445466,Material_17,Hard,-0.2891207482329871,95.27499291829182,80.88287804186193
Neelima Pal,10,Male,India,Himachal Pradesh,Kottayam,Armed forces logistics/support/administrative officer,High,Elementary,Beginner,Intro to Science,-0.41292184554135924,-1.1952298984431609,Material_34,Basic,-1.268927979621805,79.08916201246149,63.73536304120006
Mohini Oza,16,Female,India,Meghalaya,Mahbubnagar,Multimedia programmer,High,High,Advanced,Advanced Writing,-0.38538581528739063,0.39493046269015053,Material_35,Hard,0.088870661273094,101.51918549222276,64.18155185266046
Gavin Krishna,8,Female,India,Nagaland,Haridwar,"Surveyor, insurance",High,Elementary,Beginner,Reading Comprehension,0.13044487131522747,-0.3861849033063117,Material_37,Basic,1.706896973045099,128.24801484205773,72.5399782070495
Sara Vyas,10,Male,India,Himachal Pradesh,Raichur,Ship broker,Medium,Elementary,Beginner,Reading Comprehension,1.1053479786464098,0.9003182239025543,Material_40,Basic,0.7817080179967989,112.9644452759018,88.33713032873051
Reyansh Master,8,Female,India,Telangana,Kadapa,Printmaker,High,Elementary,Beginner,Reading Comprehension,-0.340666472096934,1.025164184506191,Material_34,Basic,-1.203738984301485,80.16604532315115,64.90617593258077
Zaid Barad,5,Female,India,Odisha,Adoni,Air traffic controller,High,Elementary,Beginner,Math Basics,-0.5100530242574298,-1.5650830622104879,Material_31,Basic,0.39561398908282797,106.586402263406,62.16146713872787
Ekaja Narain,7,Male,India,Uttarakhand,Secunderabad,Risk analyst,Medium,Elementary,Beginner,Math Basics,0.2071646550069066,0.5139387216779581,Material_9,Basic,0.12666068610097533,102.14345415670712,73.78313158773537
Karan Dash,15,Female,India,Punjab,Ajmer,Commercial/residential surveyor,High,High,Advanced,Physics,-0.2859101765174392,-1.3368034263581245,Material_28,Hard,0.45130020264390025,107.50630528882856,65.79343695819894
Advay Srivastava,11,Female,India,Tamil Nadu,Berhampore,"Accountant, chartered public finance",Medium,Middle,Intermediate,Earth Science,-0.987710625714789,0.6467893891913817,Material_4,Medium,0.42176647162096975,107.01842567226576,54.42159049298048
William Choudhury,18,Male,India,Meghalaya,Nangloi Jat,English as a foreign language teacher,Medium,High,Advanced,Calculus,1.0391864951475978,0.7355186111529073,Material_18,Hard,-0.7094997058465606,88.33058333819717,87.26506171845807
Xalak Sankaran,16,Female,India,Jharkhand,Lucknow,Chemical engineer,Low,High,Advanced,Advanced Writing,-0.7248885263725929,-0.045565238640328694,Material_48,Hard,-0.329688180501346,94.60484313990258,58.68031185003306
Aishani Behl,9,Female,India,Meghalaya,Bhusawal,Chiropodist,Medium,Elementary,Beginner,Math Basics,-0.8115164446172202,-0.9271368111901969,Material_21,Basic,0.1950691397079637,103.27352099755151,57.276608864368
Siya Kapoor,18,Male,India,Nagaland,Raichur,Dispensing optician,High,High,Advanced,Calculus,1.0157049189860656,0.3964058399448263,Material_22,Hard,0.5784122172425147,109.60611993448732,86.8845705415492
Finn Dhillon,6,Female,India,Karnataka,Muzaffarpur,Food technologist,Medium,Elementary,Beginner,Math Basics,0.7209116640345827,1.5057210768682276,Material_40,Basic,-0.36847668181637044,93.96408023954548,82.1077944107782
Ojas Sathe,16,Male,India,West Bengal,Ahmednagar,Media buyer,Low,High,Advanced,Physics,-0.27426644443821396,1.0491915306050597,Material_30,Hard,1.107045142220798,118.33882047071918,65.98210986890814
Onkar Padmanabhan,11,Male,India,Himachal Pradesh,Nangloi Jat,"Engineer, manufacturing systems",Low,Middle,Intermediate,Algebra,1.8251085908971518,1.2063249416912865,Material_3,Medium,1.2076344908113812,120.00049649744848,100.0
Advika Varkey,11,Female,India,Sikkim,Hyderabad,Furniture designer,Medium,Middle,Intermediate,English Literature,0.4287728850002785,1.4555429805104132,Material_24,Medium,-0.55042903656922,90.95833589249382,77.37403092357319
Ranbir Bawa,11,Female,India,Sikkim,Nagercoil,IT consultant,High,Middle,Intermediate,English Literature,0.3855652518935227,-0.954343232752065,Material_20,Medium,-0.8173704226448042,86.54862345276923,76.67390231810211
Kamya Hegde,11,Female,India,Karnataka,Junagadh,Physiological scientist,Low,Middle,Intermediate,Algebra,-0.8908661770779555,0.20043756826046447,Material_37,Medium,-0.933872437147961,84.6240796787211,55.99084027355039
Dhruv Kata,16,Male,India,Madhya Pradesh,Guntakal,"Buyer, retail",High,High,Advanced,Physics,-0.3316089348028404,1.320576804399287,Material_26,Hard,-1.5679741340241082,74.14909795380613,65.05294261473269
Fariq Tank,18,Male,India,Chhattisgarh,Tiruvottiyur,"Engineer, structural",Medium,High,Advanced,Physics,0.16073469203398869,1.2369505835573866,Material_46,Hard,3.799310748990832,162.8134420786811,73.03078893688972
Harrison Das,18,Male,India,Uttar Pradesh,Vasai-Virar,Best boy,High,High,Advanced,Calculus,0.6032538067492323,-0.7375274115368063,Material_26,Hard,-1.0838103100740366,82.14719547148638,80.20128795298689
Dominic Mall,15,Female,India,Meghalaya,Jamalpur,Exercise physiologist,Medium,High,Advanced,Advanced Writing,0.8781222165802175,-0.521064106100308,Material_40,Hard,0.2456083083598594,104.108397911821,84.65520552786397
Vansha Nanda,17,Female,India,Tamil Nadu,Anantapur,"Education officer, environmental",High,High,Advanced,Calculus,0.671838298615179,-0.4017140969514835,Material_48,Hard,-0.33372256995054245,94.53819743313392,81.31261854886579
Omkaar Saran,7,Female,India,West Bengal,Anantapur,Microbiologist,High,Elementary,Beginner,Math Basics,0.7237356590446317,-1.3526500961979735,Material_37,Basic,0.40136470587515044,106.6814006739157,82.15355391080352
Gaurangi Sastry,11,Female,India,Manipur,Bardhaman,"Designer, blown glass/stained glass",Low,Middle,Intermediate,Algebra,-0.716995042226816,1.3924132090622132,Material_18,Medium,0.4168160133910515,106.93664705576968,58.80821642730153
Janya Korpal,5,Female,India,Madhya Pradesh,Parbhani,Operational researcher,High,Elementary,Beginner,Intro to Science,-1.1056144083135808,-0.8908939820169599,Material_41,Basic,-2.3609304014363897,61.04993349687392,52.51109910626875
Inaya Vora,16,Female,India,Manipur,Sangli-Miraj & Kupwad,Publishing rights manager,Medium,High,Advanced,Physics,-0.7899581239593458,-1.0669664905536445,Material_9,Hard,0.23698365493930115,103.96592378281434,57.62593595991159
Zaid Chauhan,17,Female,India,Arunachal Pradesh,Ajmer,Tour manager,Medium,High,Advanced,Physics,0.12783603206115615,-0.8511032969899599,Material_26,Hard,0.8985121281530674,114.89397948990792,72.49770505164804
Lakshmi Grewal,5,Female,India,Odisha,Adoni,Scientific laboratory technician,Low,Elementary,Beginner,Reading Comprehension,0.9789615764905827,0.37195466611253836,Material_34,Basic,0.09515004148487002,101.62291710701923,86.28918812200892
Gunbir Ratti,13,Female,India,Madhya Pradesh,Morbi,Trading standards officer,Medium,Middle,Intermediate,Algebra,-1.6500996850996905,-0.002433735554036401,Material_25,Medium,-0.11855255315999773,98.09267773926506,43.6883589993549
Pooja Balan,12,Female,India,Uttarakhand,Rohtak,Community pharmacist,Medium,Middle,Intermediate,Earth Science,0.6214692860454428,0.34356126493690275,Material_27,Medium,1.482471825038094,124.54064528987708,80.49644825686498
Rushil Kunda,10,Male,India,Gujarat,Chennai,Operational investment banker,Low,Elementary,Beginner,Math Basics,-1.7723124548502858,1.256667422787598,Material_17,Basic,0.2295443490904099,103.84303088850876,41.70804557082637
Raghav Om,13,Female,India,Uttarakhand,Bihar Sharif,Pensions consultant,High,Middle,Intermediate,Earth Science,-0.3661328089070718,0.7441250054784294,Material_4,Medium,-1.6782776833039152,72.32694912721986,64.49352405615686
Jeremiah Thaman,9,Male,India,Arunachal Pradesh,Orai,Sports coach,Medium,Elementary,Beginner,Math Basics,-0.30804269999541284,-1.0668436318618448,Material_2,Basic,3.8458579181485093,163.58237354294815,65.43480558489729
Hredhaan Talwar,11,Male,India,Uttar Pradesh,New Delhi,"Doctor, hospital",Low,Middle,Intermediate,English Literature,-0.3975462184724333,-0.7009870596019522,Material_38,Medium,1.0130909728091293,116.78675364545248,63.984506897597214
Raghav Narasimhan,16,Female,India,Himachal Pradesh,Unnao,Teaching laboratory technician,High,High,Advanced,Calculus,0.2006180499908666,1.2546091413710518,Material_16,Hard,0.5265601161220199,108.74955415913708,73.67705159420447
Adweta Virk,7,Male,India,Punjab,Darbhanga,Production engineer,Low,Elementary,Beginner,Reading Comprehension,-1.6993174531760495,-1.270501830472956,Material_19,Basic,-1.2135024570885427,80.00475857763388,42.89084326312929
Yochana Kaul,18,Female,India,Tripura,Parbhani,"Sales professional, IT",High,High,Advanced,Advanced Writing,1.2957310424969737,-0.8729075124991341,Material_20,Hard,1.247280291231398,120.65542146755216,91.42206276809075
Jalsa Vyas,5,Female,India,Telangana,Sambhal,Amenity horticulturist,Low,Elementary,Beginner,Math Basics,1.5915382582237498,-0.7043920674573256,Material_1,Basic,0.8013173130798664,113.2883791316942,96.21526893431069
Krishna Oza,13,Female,India,Goa,Sri Ganganagar,Drilling engineer,Low,Middle,Intermediate,English Literature,1.8251085908971518,0.8858295424018314,Material_13,Medium,0.46535403714167256,107.73846625016076,100.0
Mitali Sehgal,17,Female,India,Tripura,Dehri,Occupational therapist,Low,High,Advanced,Advanced Writing,0.6554685754776555,1.1268592860660687,Material_28,Hard,1.2541423806533756,120.76877909085464,81.04736654110353
Zarna Chad,17,Male,India,Odisha,North Dumdum,Public relations officer,High,High,Advanced,Physics,0.006458279902103725,-1.0654985838959294,Material_16,Hard,1.0229636681651024,116.94984468264563,70.53092209585951
Arya Bora,17,Male,India,Punjab,Sonipat,Ranger/warden,Medium,High,Advanced,Advanced Writing,0.45482769921169464,-1.4566777707572958,Material_48,Hard,-0.6322510256082816,89.60668544887773,77.7962183804648
Kevin Desai,15,Male,India,Madhya Pradesh,Hapur,Wellsite geologist,Medium,High,Advanced,Physics,1.2853986340088805,1.445628699518406,Material_27,Hard,0.4301924833471765,107.15761835899212,91.25463830565717
Rohan Kalita,6,Male,India,Assam,Gudivada,Product/process development scientist,Low,Elementary,Beginner,Math Basics,-0.7697788440382939,-1.0894396393767787,Material_10,Basic,-0.587873460246713,90.33977635282692,57.9529173309029
Ayush Palla,15,Male,India,West Bengal,Allahabad,Special effects artist,High,High,Advanced,Advanced Writing,-0.25210144231371984,1.4421346340304375,Material_18,Hard,-0.7236539701761387,88.09676333596036,66.34126752027366
